No commune,Communes 1),Electeurs inscrits,Participation,Oui en %
1,Aeugst am Albis,1'395,54.6,66.9
2,Affoltern am Albis,7'088,44.4,59.3
3,Bonstetten,3'631,60.3,64.5
4,Hausen am Albis,2'453,52.4,64.0
5,Hedingen,2'498,55.1,64.8
6,Kappel am Albis,695,46.8,52.2
7,Knonau,1'382,47.5,60.5
8,Maschwanden,448,50.9,60.4
9,Mettmenstetten,3'292,54.3,62.5
10,Obfelden,3'271,48.3,55.9
11,Ottenbach,1'855,53.5,60.7
12,Rifferswil,724,57.5,66.3
13,Stallikon,2'354,52.0,62.1
14,Wettswil am Albis,3'414,55.9,62.5
21,Adlikon,481,56.1,44.0
22,Benken (ZH),615,48.6,48.3
23,Berg am Irchel,443,59.1,47.9
24,Buch am Irchel,669,49.6,47.6
25,Dachsen,1'357,51.4,58.6
26,Dorf,463,50.8,44.2
27,Feuerthalen,2'205,48.5,56.6
28,Flaach,943,50.7,44.2
29,Flurlingen,989,55.5,63.4
30,Andelfingen,1'496,59.4,58.7
31,Henggart,1'596,53.6,54.2
32,Humlikon,353,51.0,46.7
33,Kleinandelfingen,1'435,55.6,52.1
34,Laufen-Uhwiesen,1'162,50.4,55.1
35,Marthalen,1'420,54.0,42.0
36,Oberstammheim,863,53.8,58.7
37,Ossingen,1'054,52.3,52.8
38,Rheinau,862,57.7,64.6
39,Thalheim an der Thur,667,51.7,43.6
40,Trüllikon,795,52.7,47.0
41,Truttikon,346,56.4,48.7
42,Unterstammheim,638,59.9,58.0
43,Volken,232,46.1,48.6
44,Waltalingen,490,54.7,44.4
51,Bachenbülach,2'460,45.1,52.4
52,Bassersdorf,7'107,44.0,54.7
53,Bülach,11'755,42.5,56.2
54,Dietlikon,4'708,49.0,61.1
55,Eglisau,3'137,52.8,59.1
56,Embrach,5'369,42.0,50.4
57,Freienstein-Teufen,1'634,51.5,55.3
58,Glattfelden,3'056,43.9,46.9
59,Hochfelden,1'313,49.2,45.1
60,Höri,1'473,40.9,42.5
61,Hüntwangen,721,57.8,54.5
62,Kloten,10'634,36.8,52.3
63,Lufingen,1'367,47.3,49.5
64,Nürensdorf,3'890,51.4,51.0
